"Español","Quechua (OPS/OMS Bolivia 2013)","Quechua corregido","Aymara"
"¿Cada dos días?","¿Sapa iskay p’unchawchu?","",""
"¿Tienes diarrea?","¿Q’ichalirawanchu kachkanki?","",""
"¿Desde cuándo tienes diarrea?","¿Mayk’aqmantapacha q’ichachkanki?","",""
"¿Cuántas veces te ha dado diarrea al día?","¿Sapa p’unchaw, machkha kutita q’ichanki?","",""
"¿Cómo era la diarrea?","¿Imayna qich’a karqa?","",""
"¿No has podido defecar?","¿Manachu akayta atinki?","",""
"¿Cómo son tus Heces?","¿Imaynataq akayki?","",""
"¿Te duele al defecar?","¿Akachkaqtiyki nanasunkichu?","",""
"¿No has podido expulsar gases?","¿Manachu supiyta atinki?","",""
"¿Desde cuándo no puedes defecar?","¿Mayk’aqmantapacha mana akayta atinkichu?","",""
"¿Desde cuándo no has podido expulsar gases?","¿Mayk’aqmantapacha mana supiyta atinkichu?","",""
"¿Tres días","¿Kimsa p’unchawñachu?","",""
"¿Sientes ganas de defecar pero no puedes defecar?","¿Akayta munankitaq manataqchu akayta atinki?","",""
"¿Has tenido ganas de vomitar?","¿Kutichiytachu munanayanki?","",""
"¿Cuántas veces al día has vomitado?","¿Juk p’unchaw machkha kutita kutichinki?","",""
"¿Desde cuándo estás vomitando?","¿Mayk’aqmantapacha kutichichkanki?","",""
"¿Qué cantidad era lo que has vomitado?","¿May chhikataq kutichisqayki karqa?","",""
"¿Cómo era el vómito?","¿Imaynataq kutichisqayki karqa?","",""
"¿Te sale mucha saliva?","¿Thuqayniyki anchatachu surumusunki?","",""
"¿Se te hincha el abdomen?","¿Wisayki punkisunkichu?","",""
"¿Has comido con grasas?","¿Wirayuqtachu mikhurqanki?","",""
"¿Te duele al orinar?","¿Jisp’aqtiyki nanasunkichu?","",""
"¿Cuándo te duele más, al orinar?","¿Mayk’aqtaq astawan nanasunki, jisp’aqtiyki?","",""
"¿Te duele cuando empiezas a orinar?","¿Jisp’ayta qallariqtiyki nanasunkichu?","",""
"¿Te duele cuando estás orinando?","¿Jisp’achkaqtiyki nanasunkichu?","",""
"¿Te duele cuando terminas de orinar?","¿Jisp’ayta tukuqtiyki nanasunkichu?","",""
"¿Desde cuándo te duele al orinar?","¿Mayk’aqmantapacha jisp’aqtiyki nanasunki?","",""
"¿Te escuece al orinar?","¿Jisp’aqtiyki siqsisunkichu?","",""
"¿Cuántas veces al día orinas?","¿Juk p’unchaw machkha kutita jisp’anki?","",""
"¿Muchas veces en el día orinas?","¿Juk p’unchawllapi achkha kutitachu jisp’anki?","",""
"¿Estás orinando muy poco?","¿Pisisitutachu jisp’achkanki?","",""
"¿Estás orinando gotitas?","¿Sut’uy sut’uyllatachu jisp’achkanki?","",""
"¿Te levantas en la noche para orinar?","¿Tuta jisp’aq jatarinkichu?","",""
"¿No has podido orinar?","¿Manachu jisp’ayta atinki?","",""
"¿Sientes ganas de orinar pero no puedes orinar?","¿Jisp’ay munanayankitaq manataq jisp’ayta atinkichu?","",""
"¿Tu orina tiene mal olor?","¿Jisp’ayniyki asnachu?","",""
"¿Cómo es tu orina?","¿Imaynataq jisp’ayniyki?","",""
"¿Tiene sangre?","¿Llawarniyuqchu?","",""
"¿Te vence la orina? (¿Se te escapa la orina?)","¿Jisp’ay atipasunkichu?","",""
"¿Cuándo te vence la orina?","¿Mayk’aqtaq jisp’ay atipasunki?","",""
"¿Cuándo ríes?","¿Asiqtiykichu?","",""
"¿Cuándo toses?","¿Ch’ujuqtiykichu?","",""
"¿Todo el tiempo se te escapa la orina?","¿Tukuy ratuchu jisp’ayniyki atipasunki?","",""
"¿Cuántos años tenías cuando te vino tu regla?","¿Machkha watayuq karqanki llawarniyki jamuchkasuqtin?","",""
"¿Te viene todavía tu regla?","¿Llawarniyki jamusunkiraqchu?","",""
"¿Cuándo se ha perdido tu regla?","¿Llawarniyki mayk’aqña ch’akipun?","",""
"¿Cada mes te viene?","¿Sapa killachu jamusunki?","",""
"¿Qué día ha empezado tu regla?","¿Llawarniyki ima p’unchaw qallarirqa?","",""
"¿Tu última regla, cuando fue?","¿Qhipa llawarniyki jamusuq, mayk’aq karqa?","",""
"¿Cuántos días te dura la regla?","¿Llawarniyki machkha p’unchawta jamusunki?","",""
"¿Qué cantidad te viene?","¿Machkhajina jamusunki?","",""
"¿Todos los meses te viene igual?","¿Sapa killachu kikinta jamusunki?","",""
"¿Todos los meses es diferente?","¿Sapa killachu jukjina jamusunki?","",""
"¿No te viene la regla?","¿Llawarniyki manachu jamusunki?","",""
"¿Desde cuándo no te viene la regla?","¿Llawarniyki mayk’aqmantapacha mana jamusunkichu?","",""
"¿Estás embarazada?","¿Unquqchu kachkanki?","",""
"¿Todo el mes te ha venido tu regla?","¿Llawarniyki killantinchu jamusunki?","",""
"¿Todo el mes te ha venido gotas?","¿Llawarniyki killantinchu sut’uy sut’uylla jamusunki?","",""
"¿En qué año has tenido tu último hijo?","¿Sullk’a wawayki ima watapi kapusurqa?","",""
"¿Cuántos años tiene tu hijo menor?","¿Sullk’a wawayki machkha watayuqtaq?","",""
"¿En algún embarazo tu hijo se ha muerto en","tuvientre? ¿Mayqin unquq kasqallaykipipis juk kutillapis wisaykipi wawa wañurqachu?","",""
"¿Alguna vez al nacer tu hijo se ha muerto?","¿Mayk’aqllapis wawayki yurikuchkaspa wañupurqachu?","",""
"¿Pequeñito se ha muerto tu hijo?","¿Wawayki juch’uysituchu wañupurqa?","",""
"¿De cuántos años?","¿Machkha watayuq?","",""
"¿Te ha bajado como mucha agua?","¿Achkha yakujinachu uraqamusunki?","",""
"¿Te está bajando como agua blanca?","¿Yuraq yakujinachu uraqamuchkasunki?","",""
"¿Te ocasiona escozor?","¿Siqsichisunkichu?","",""
"¿Tienes la vista borrosa?","¿Chharpatachu qhawanki?","",""
"¿Ves bien de lejos?","¿Karuman sumaqtachu qhawanki?","",""
"¿Ves bien de cerca?","¿Qayllaman sumaqtachu qhawanki?","",""
"¿La luz te hace doler tus ojos?","¿Ñawikunaykita k’anchay nanachisunkichu?","",""
"¿Se cansan tus ojos?","¿Ñawikunayki sayk’unchu?","",""
"¿Te escuecen los ojos?","¿Ñawikunayki siqsisunkichu?","",""
"¿Te arden los ojos?","¿Ñawikunayki k’arasunkichu?","",""
"¿Te duelen los ojos?","¿Ñawikunayki nanasunkichu?","",""
"¿Te salen lágrimas?","¿Waqay lluqsimusunchu?","",""
"¿Has despertado con lagañas?","¿Ch’uqñiyuqchu rikch’arimunki?","",""
"¿Te has golpeado el ojo?","¿Ñawiykita takaykukunkichu?","",""
"¿Te ha entrado basura al ojo?","¿Ñawiykiman q’upa yaykurqasunkichu?","",""
"¿Tienes lentes?","¿Lentes tiyapusunkichu?","",""
"Dime cuántos dedos ves","Willaway machkha rukanakunata qhawanki","",""
"¿Puedes respirar por la nariz?","¿Sinqaykiniqta samayta atinkichu?","",""
"¿Te ha salido sangre de la nariz?","¿Sinqaykimanta llawar lluqsimunchu?","",""
"¿Te ha salido pus de la nariz?","¿Sinqaykimanta q’iya lluqsimunchu?","",""
"¿Cuándo ha comenzado a salir sangre de tu","nariz? ¿Mayk’aqtaq llawar sinqaykimanta lluqsimuyta qallarirqa?","",""
"¿La sangre ha empezado de por sí?","(¿Empezó espontáneamente?) ¿Llawar qhasillamantachu lluqsimuyta qallarin?","",""
"¿Te ha salido sangre antes?","¿Unay llawar lluqsimusuqchu?","",""
"¿Todas las cosas huelen mal para tí?","¿Qampaq tukuy imachu millayta q’apan?","",""
"¿Te está doliendo el oído?","¿Rinriyki nanachkasunkichu?","",""
"¿Te ha salido sangre del oído?","¿Rinriykimanta llawar lluqsisunkichu?","",""
"¿Te ha salido pus del oído?","¿Rinriykimanta q’iya lluqsimusunkichu?","",""
"¿Ya no puedes escuchar bien?","¿Manachu sumaqta uyariyta atinki?","",""
"Estás enfermo de... Neumonía","Neumoniawan unqusqa kachkanki","",""
"Del pulmón estás enfermo","Surq’anmanta unqusqa kachkanki","",""
"Del pulmón está enfermo (refiriéndose a una tercera persona)","Surq’anmanta unqusqa kachkan","",""
"Tienes que hacerte una radiografía","Radiografiata urquchikunayki tiyan","",""
"Tienes que hacerte un análisis de sangre","Llawarniykimanta analisista ruwachikunayki tiyan","",""
"Tienes que hacerte un análisis de orina","Jisp’ayniykimanta analisista ruwachikunayki tiyan","",""
"Tienes que hacerte un análisis de la flema que","escupes al toser Ch’ujuspa llawsa thuqasqaykimanta analisista ruwachikunayki tiyan","",""
"Tienes que hacerte un análisis de esa pus","Chay q’iyamanta analisista ruwachikunayki tiyan","",""
"Con los resultados vas a volver","Resultadukunawan kutimunki","",""
"Tienes que quedarte en el hospital","Hospitalpi qhipakunayki tiyan","",""
"Tiene que quedarse en el hospital (refiriéndose a una tercera persona)","Hospitalpi qhipakunan tiyan","",""
